2016-12-30 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41706676&cat_id=41688680|Розміщення ОВДП відбуватиметься на основі анонімних заявок
2016-12-30 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41652735&cat_id=41688680|У новому випуску "Вісника НБУ": переваги "безготівкової" економіки, бізнес-моделі банків та валютні інтервенції
2016-12-30 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41706645&cat_id=41688680|Національний банк усунув адміністративні бар'єри для операцій з експорту послуг
2016-12-30 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41706623&cat_id=41688680|Стан поточного рахунку платіжного балансу у листопаді покращився завдяки збільшенню експорту продовольчих товарів та послуг
2016-12-29 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41652909&cat_id=41688680|Національний банк монетизував ОВДП для  ПАТ КБ "ПРИВАТБАНК"
2016-12-29 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41634818&cat_id=41688680|Коментар заступника Голови Національного банку України Олега Чурія щодо ситуації на валютному ринку
2016-12-29 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41604994&cat_id=41688680|Друга двадцятка банків має довести достатність капіталу до позитивних значень до 1 січня 2017 року
2016-12-28 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41604758&cat_id=41688680|Національний банк розширив лінійку дослідницьких публікацій
2016-12-28 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41604412&cat_id=41688680|Повідомлення про суттєві зміни в майновому стані Голови НБУ
2016-12-28 00:00:00|https://bank.gov.ua/control/uk/publish/article;jsessionid=94DC6AED731015A34AB3F02E81A08D8D?art_id=41508320&cat_id=41688680|Коментар директора департаменту відкритих ринків НБУ Сергія Пономаренка щодо ситуації на валютному ринку
